Conectando a IQ Option...
Conectado correctamente
Cuenta seleccionada: PRACTICE
Actualizando OPCODE ligero binary/turbo...
Total de activos en OPCODE: 632
OPCODE ligero actualizado correctamente
Obteniendo balance inicial...
Balance inicial: 9497.86
Operaciones pendientes recuperadas: 0
D7.6D TIMING BALANCE | antes: 38 | despues: 38 | demora: 0.157

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226942.73
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226942.99
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226943.25
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226943.5
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226943.77
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.02
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.27
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.53
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226944.8
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.05
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.3
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.55
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226945.8
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.06
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.31
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.57
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226946.82
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.08
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.33
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.6
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226947.85
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.11
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.36
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.61
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226948.88
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.13
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.39
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.65
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226949.91
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.16
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.41
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.68
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226950.93
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.18
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.44
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.7
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226951.96
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.22
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.47
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.74
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226952.99
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226953.24
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789226953.5
D7.6A PRECALENTANDO CACHE FUERA DE VENTANA | edad: 1789226954.79
D7.6D REFRESH INCREMENTAL INICIADO | universo: 305
D7.6D REFRESH INCREMENTAL PAUSADO | indice: 54 / 305 | candidatos: 8 | demora: 11.601
D7.6D TIMING OBTENER ACTIVOS | antes: 12 | despues: 23 | demora: 11.601
D7.6D TIMING PRECARGA TOTAL | antes: 12 | despues: 23 | demora: 11.601
D7.6D TIMING BALANCE | antes: 23 | despues: 23 | demora: 0.154

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0

===== ESTADÍSTICAS POR ESTRATEGIA =====
liquidity sweep alcista | total: 3 | ganadas: 3 | perdidas: 0 | winrate: 100.0% | neto: 64.0
MANAUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
MATICUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
MORSTAN-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
PYTHUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
UKOUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.25
SpaceX-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.0
USNDAQ100-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 21.0
ALIBABA-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 20.5
EURCHF-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 20.5
EURUSD-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 20.5
OpenAI-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 20.5
USDPHP-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 20.5
USDSAR-OTC | total: 1 | ganadas: 1 | perdidas: 0 | winrate: 100.0% | neto: 20.5
TAOUSD-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 18.5
US2000-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 18.5
USDBRL-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 18.5
AUDJPY-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 18.0
NVDA-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 17.75
SEIUSD-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 17.25
UK100-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 17.25
USDIDR-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 17.25
USDSGD-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 16.75
USDCAD-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 16.5
CADCHF-OTC | total: 3 | ganadas: 2 | perdidas: 1 | winrate: 66.67% | neto: 16.0
USDPLN-OTC | total: 5 | ganadas: 3 | perdidas: 2 | winrate: 60.0% | neto: 13.75
Anthropic-OTC | total: 5 | ganadas: 3 | perdidas: 2 | winrate: 60.0% | neto: 12.75
COFFEE-OTC | total: 7 | ganadas: 4 | perdidas: 3 | winrate: 57.14% | neto: 8.25
CASINOS-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.25
ICPUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.25
KLARNA-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.25
RAYDIUMUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.25
USDAED-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.25
US30:N | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.5
AUDNZD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
EURJPY-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
EURNZD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
GBPJPY-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
ORDIUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
SATSUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
US2000:N | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -3.75
AUDUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -4.5
EOSUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -4.5
ETHUSD-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -4.5
EURTHB-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -4.5
TRON-OTC | total: 2 | ganadas: 1 | perdidas: 1 | winrate: 50.0% | neto: -4.5
SUGAR-OTC | total: 4 | ganadas: 2 | perdidas: 2 | winrate: 50.0% | neto: -6.5
USDMXN-OTC | total: 4 | ganadas: 2 | perdidas: 2 | winrate: 50.0% | neto: -6.5
USDNGN-OTC | total: 4 | ganadas: 2 | perdidas: 2 | winrate: 50.0% | neto: -7.75
GBPCAD-OTC | total: 4 | ganadas: 2 | perdidas: 2 | winrate: 50.0% | neto: -8.25
AIG-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
AUDCHF-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
BCHUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
CHFNOK-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
COKE-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
FR40-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
GBPCHF-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
HBARUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
HK33-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
INTEL-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
JAPAN225:N | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
JP225-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
JUPUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
LINKUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
LTCUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
LUNA-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
MAGNIFICENT7-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
MSFT-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
NOKJPY-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
RONINUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
SANDUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
US30-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
USDNOK-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
XAUUSD-OTC | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
XLK | total: 1 | ganadas: 0 | perdidas: 1 | winrate: 0.0% | neto: -25.0
DYDXUSD-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -28.25
EURGBP-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -28.25
SOLUSD-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -28.25
ATOMUSD-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -28.75
SP500-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -28.75
AIRLINES-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -29.5
PENUSD-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -29.5
XPTUSD-OTC | total: 3 | ganadas: 1 | perdidas: 2 | winrate: 33.33% | neto: -29.5
URANIUM-OTC | total: 5 | ganadas: 2 | perdidas: 3 | winrate: 40.0% | neto: -33.5
ARBUSD-OTC | total: 5 | ganadas: 2 | perdidas: 3 | winrate: 40.0% | neto: -34.0
EU50-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
FETUSD-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
JPYTHB-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
NZDUSD-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
TESLA-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
USDTRY-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
USDVND-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
WLDUSD-OTC | total: 2 | ganadas: 0 | perdidas: 2 | winrate: 0.0% | neto: -50.0
CARDANO-OTC | total: 4 | ganadas: 1 | perdidas: 3 | winrate: 25.0% | neto: -53.25
JPM-OTC | total: 4 | ganadas: 1 | perdidas: 3 | winrate: 25.0% | neto: -53.75
XPDUSD-OTC | total: 6 | ganadas: 2 | perdidas: 4 | winrate: 33.33% | neto: -57.75
AUS200-OTC | total: 8 | ganadas: 3 | perdidas: 5 | winrate: 37.5% | neto: -62.75
LABUBUUSD-OTC | total: 3 | ganadas: 0 | perdidas: 3 | winrate: 0.0% | neto: -75.0
MCDON-OTC | total: 3 | ganadas: 0 | perdidas: 3 | winrate: 0.0% | neto: -75.0
USDARS-OTC | total: 3 | ganadas: 0 | perdidas: 3 | winrate: 0.0% | neto: -75.0
XNGUSD-OTC | total: 3 | ganadas: 0 | perdidas: 3 | winrate: 0.0% | neto: -75.0
RENDERUSD-OTC | total: 5 | ganadas: 1 | perdidas: 4 | winrate: 20.0% | neto: -78.25
GOOGLE-OTC | total: 4 | ganadas: 0 | perdidas: 4 | winrate: 0.0% | neto: -100.0
D7.6D TIMING ESTADISTICAS | antes: 30 | despues: 30 | demora: 0.221
D7.6D TIMING BALANCE | antes: 34 | despues: 34 | demora: 0.164

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0
D7.6D TIMING BALANCE | antes: 44 | despues: 45 | demora: 0.205
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227002.45
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227002.71
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227002.98
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227003.24
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227003.5
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227003.76
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227004.01
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227004.27
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227004.53
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227004.78
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227005.04
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227005.31
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227005.56
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227005.83
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227006.08
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227006.33
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227006.59

Balance: 9497.86 | Neto: 0.0 | Abiertas: 0
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227006.84
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227007.11
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227007.36
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227007.63
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227007.89
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227008.15
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227008.41
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227008.66
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227008.92
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227009.17
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227009.44
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227009.7
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227009.97
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227010.23
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227010.49
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227010.74
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227011.0
D7.6A VENTANA OMITIDA — CACHE NO PREPARADA | edad: 1789227011.26
